strike,bid,ask
360,20.54,20.76
361,19.7,19.89
362,18.84,19.06
363,17.92,18.13
364,16.97,17.16
365,16.13,16.34
366,15.41,15.62
367,14.48,14.64
368,13.78,13.92
369,13.06,13.21
370,12.19,12.36
371,11.47,11.63
372,10.61,10.76
373,10.03,10.16
374,9.34,9.45
375,8.73,8.85
376,8.05,8.12
377,7.4,7.48
378,6.77,6.83
379,6.36,6.38
380,5.7,5.74
381,5.21,5.24
382,4.75,4.77
383,4.23,4.26
384,3.81,3.84
385,3.45,3.48
386,3.07,3.09
387,2.7,2.72
387.5,2.56,2.58
388,2.41,2.43
389,2.1,2.14
390,1.86,1.88
391,1.63,1.64
392,1.4,1.42
392.5,1.3,1.31
393,1.21,1.23
394,1.06,1.07
395,0.9,0.91
396,0.78,0.79
397,0.67,0.68
397.5,0.62,0.63
398,0.56,0.58
399,0.5,0.51
400,0.42,0.43
401,0.35,0.36
402,0.3,0.32
402.5,0.29,0.3
403,0.26,0.27
404,0.22,0.23
405,0.2,0.21
406,0.16,0.18
407,0.15,0.16
407.5,0.13,0.14
408,0.12,0.13
409,0.11,0.12
410,0.1,0.11
411,0.08,0.09
412,0.07,0.08
412.5,0.07,0.08
413,0.07,0.07
414,0.06,0.07
415,0.05,0.06
416,0.04,0.05
417,0.04,0.05
418,0.03,0.04
419,0.03,0.04
420,0.03,0.04
