strike,bid,ask
275,112.67,113.38
280,107.68,108.38
285,102.68,103.38
290,97.69,98.39
295,92.7,93.4
300,87.7,88.4
305,82.71,83.41
310,77.72,78.42
315,72.72,73.42
320,67.73,68.43
325,62.74,63.44
330,57.74,58.44
335,52.75,53.45
339,48.76,49.46
340,47.77,48.47
342,45.76,46.46
345,42.77,43.47
346,41.78,42.48
347,40.79,41.48
348,39.78,40.48
350,37.79,38.49
351,36.79,37.49
352,35.8,36.5
353,34.8,35.5
354,33.81,34.51
355,32.82,33.51
356,31.82,32.52
357,30.83,31.53
358,29.85,30.54
359,28.85,29.54
360,27.86,28.55
361,26.87,27.56
362,25.89,26.58
363,24.91,25.59
364,23.93,24.61
365,22.96,23.64
366,21.99,22.66
367,21.04,21.7
368,20.08,20.74
369,19.14,19.79
370,18.21,18.85
371,17.29,17.93
372,16.39,17.01
373,15.5,16.11
374,14.63,15.23
375,13.78,14.36
376,12.95,13.51
377,12.13,12.68
378,11.53,11.69
379,10.74,10.9
380,10,10.16
381,9.29,9.42
382,8.59,8.72
383,7.92,8.03
384,7.31,7.37
385,6.66,6.75
386,6,6.16
387,5.54,5.57
388,5,5.03
389,4.49,4.51
390,4,4.03
391,3.55,3.58
392,3.11,3.15
392.5,2.93,2.95
393,2.73,2.76
394,2.37,2.39
395,2.04,2.06
396,1.73,1.75
397,1.47,1.48
397.5,1.34,1.36
398,1.22,1.24
399,1.01,1.02
400,0.83,0.84
401,0.68,0.69
402,0.55,0.56
402.5,0.49,0.5
403,0.44,0.45
404,0.35,0.36
405,0.27,0.28
406,0.21,0.22
407,0.16,0.17
407.5,0.14,0.15
408,0.13,0.14
409,0.1,0.11
410,0.07,0.08
411,0.06,0.07
412,0.04,0.05
412.5,0.04,0.05
413,0.03,0.05
414,0.03,0.04
415,0.02,0.03
416,0.02,0.03
417,0.02,0.03
418,0.01,0.02
419,0.01,0.02
420,0.01,0.02
421,0.01,0.02
422,0.01,0.02
423,0.01,0.02
424,0.01,0.02
425,0.01,0.02
426,0.01,0.02
427,0.01,0.02
428,0.01,0.02
429,0.01,0.02
430,0,0.01
431,0,0.01
432,0,0.01
433,0,0.01
434,0,0.01
435,0,0.01
436,0,0.01
437,0,0.01
438,0,0.01
440,0,0.01
442,0,0.01
444,0,0.01
445,0,0.01
446,0,0.01
448,0,0.01
450,0,0.01
452,0,0.01
454,0,0.01
455,0,0.01
456,0,0.01
458,0,0.01
460,0,0.01
465,0,0.01
470,0,0.01
480,0,0.01
485,0,0.01
500,0,0.01
